Wall time,Step,Value
1559000755.552738,10468,1.0
1559000755.889507,10479,1.0
1559000756.33485,10489,1.0
1559000756.458806,10493,1.0
1559000757.5913842,10522,1.0
1559000757.863164,10531,1.0
1559000758.96875,10554,1.0
1559000758.99959,10555,1.0
1559000759.360621,10567,1.0
1559000760.460652,10598,1.0
1559000760.989064,10607,1.0
1559000761.500587,10624,1.0
1559000761.658634,10629,1.0
1559000761.939486,10638,1.0
1559000762.3351989,10646,1.0
1559000762.829176,10654,1.0
1559000763.345333,10671,1.0
1559000764.6463192,10701,1.0
1559000764.951658,10711,1.0
1559000766.0723908,10748,1.0
1559000766.707488,10757,1.0
1559000766.736416,10758,1.0
1559000767.4053812,10780,1.0
1559000767.611304,10787,1.0
1559000768.762364,10815,1.0
1559000769.0548139,10825,1.0
1559000769.200809,10830,1.0
1559000769.532504,10841,1.0
1559000769.805216,10850,1.0
1559000770.61808,10864,1.0
1559000772.021575,10902,1.0
1559000772.111897,10905,1.0
1559000773.345661,10939,1.0
1559000773.466238,10943,1.0
1559000774.548994,10966,1.0
1559000774.729782,10972,1.0
1559000774.789603,10974,1.0
1559000776.247248,11014,1.0
1559000776.577999,11020,1.0
1559000776.6394181,11022,1.0
1559000776.9743161,11033,1.0
1559000777.1245298,11038,1.0
1559000777.802033,11052,1.0
1559000778.0846112,11061,1.0
1559000778.713634,11077,1.0
1559000779.7244842,11102,1.0
1559000780.301572,11121,1.0
1559000780.722337,11130,1.0
1559000781.296556,11148,1.0
1559000782.362117,11175,1.0
1559000783.198775,11198,1.0
1559000783.2623959,11200,1.0
1559000783.540001,11201,1.0
1559000785.7082539,11260,1.0
1559000785.795224,11263,1.0
1559000786.0637188,11272,1.0
1559000787.577846,11310,1.0
1559000789.537063,11361,1.0
1559000791.4056761,11411,1.0
1559000791.648871,11419,1.0
1559000793.06911,11455,1.0
1559000793.5812988,11472,1.0
1559000794.203038,11492,1.0
1559000795.447923,11520,1.0
1559000795.537986,11523,1.0
1559000795.751621,11530,1.0
1559000795.8148742,11532,1.0
1559000796.3285172,11549,1.0
1559000796.820014,11557,1.0
1559000797.236606,11566,1.0
1559000797.69128,11581,1.0
1559000798.2070882,11597,1.0
1559000799.8099809,11636,1.0
1559000800.1794372,11648,1.0
1559000800.793503,11660,1.0
1559000801.264211,11671,1.0
1559000801.6736882,11685,1.0
1559000801.7314858,11687,1.0
1559000803.2168791,11723,1.0
1559000804.570615,11759,1.0
1559000805.535509,11786,1.0
1559000806.2413912,11801,1.0
1559000807.2999098,11831,1.0
1559000808.277942,11855,1.0
1559000808.827986,11873,1.0
1559000810.2299142,11906,1.0
1559000811.0542378,11933,1.0
1559000811.599082,11946,1.0
1559000811.6626801,11948,1.0
1559000811.693058,11949,1.0
1559000812.544084,11969,1.0
1559000812.694859,11974,1.0
1559000813.121064,11988,1.0
1559000813.576331,11998,1.0
1559000813.988256,12003,1.0
1559000814.201314,12010,1.0
1559000814.774743,12029,1.0
1559000815.167649,12041,1.0
1559000816.616787,12076,1.0
1559000818.796375,12138,1.0
1559000819.623329,12153,1.0
1559000819.9505532,12164,1.0
1559000820.0685031,12168,1.0
1559000820.5594182,12184,1.0
1559000821.9575171,12217,1.0
1559000822.228001,12226,1.0
1559000823.936717,12270,1.0
1559000824.536441,12290,1.0
1559000824.627298,12293,1.0
1559000825.361043,12309,1.0
1559000825.993197,12325,1.0
1559000828.543846,12396,1.0
1559000829.073015,12405,1.0
1559000830.162977,12436,1.0
1559000830.997143,12455,1.0
1559000831.093436,12458,1.0
1559000831.895482,12480,1.0
1559000834.295348,12545,1.0
1559000834.789126,12553,1.0
1559000835.425028,12574,1.0
1559000836.235876,12596,1.0
1559000837.374228,12625,1.0
1559000839.161845,12671,1.0
1559000840.1471958,12699,1.0
1559000842.6494029,12758,1.0
1559000843.1339982,12774,1.0
1559000844.399803,12805,1.0
1559000845.248737,12834,1.0
1559000846.374304,12859,1.0
1559000846.521696,12864,1.0
1559000846.916804,12877,1.0
1559000847.310921,12890,1.0
1559000847.491275,12896,1.0
1559000849.1537511,12938,1.0
1559000849.183744,12939,1.0
1559000850.0409029,12959,1.0
1559000852.3650188,13017,1.0
1559000852.884898,13034,1.0
1559000853.952385,13061,1.0
1559000853.982411,13062,1.0
1559000854.378335,13070,1.0
1559000854.740007,13082,1.0
1559000855.1044219,13094,1.0
1559000855.814112,13109,1.0
1559000855.93409,13113,1.0
1559000856.597905,13130,1.0
1559000857.145411,13148,1.0
1559000857.952107,13166,1.0
1559000858.560569,13181,1.0
1559000858.860082,13191,1.0
1559000858.952182,13194,1.0
1559000859.5572531,13206,1.0
1559000859.586226,13207,1.0
1559000859.703441,13211,1.0
1559000860.6834219,13239,1.0
1559000861.6912608,13265,1.0
1559000862.857922,13298,1.0
1559000863.570664,13313,1.0
1559000864.8082402,13349,1.0
1559000867.053231,13402,1.0
1559000867.1724658,13406,1.0
1559000867.775181,13426,1.0
1559000869.647498,13475,1.0
1559000870.821825,13504,1.0
1559000872.1013062,13546,1.0
1559000874.076833,13597,1.0
1559000874.925888,13612,1.0
1559000875.16517,13620,1.0
1559000875.3403509,13626,1.0
1559000877.211593,13676,1.0
1559000877.298795,13679,1.0
1559000877.388758,13682,1.0
1559000877.769999,13695,1.0
1559000878.9813771,13722,1.0
1559000879.7378361,13747,1.0
1559000880.202056,13754,1.0
1559000881.021015,13776,1.0
1559000881.655152,13797,1.0
1559000882.295837,13810,1.0
1559000883.505526,13845,1.0
1559000884.48155,13868,1.0
1559000884.571145,13871,1.0
1559000885.117204,13884,1.0
1559000885.23476,13888,1.0
1559000887.069519,13937,1.0
1559000887.14112,13938,1.0
1559000887.965751,13957,1.0
1559000888.053231,13960,1.0
1559000888.3183942,13969,1.0
1559000888.347714,13970,1.0
1559000888.522291,13976,1.0
1559000889.266269,13996,1.0
1559000889.3266618,13998,1.0
1559000892.442007,14080,1.0
1559000892.6456819,14086,1.0
1559000895.632554,14161,1.0
1559000896.484926,14189,1.0
1559000897.843282,14221,1.0
1559000898.018469,14227,1.0
1559000898.701621,14250,1.0
1559000900.21238,14287,1.0
1559000900.246719,14288,1.0
1559000900.427466,14294,1.0
1559000900.981173,14303,1.0
1559000901.6467881,14320,1.0
1559000902.014425,14332,1.0
1559000902.1953769,14338,1.0
1559000903.0549319,14358,1.0
1559000903.174704,14362,1.0
1559000904.0575418,14386,1.0
1559000904.392384,14397,1.0
1559000906.330014,14447,1.0
1559000907.314508,14471,1.0
1559000908.1552799,14494,1.0
1559000909.654241,14530,1.0
1559000910.6273081,14554,1.0
1559000910.689443,14556,1.0
1559000910.72003,14557,1.0
1559000912.8920598,14617,1.0
1559000913.351402,14632,1.0
1559000913.5348659,14638,1.0
1559000914.834183,14668,1.0
1559000915.106611,14677,1.0
1559000915.226515,14681,1.0
1559000915.4091809,14687,1.0
1559000916.283932,14703,1.0
1559000917.592465,14746,1.0
1559000918.355336,14758,1.0
1559000918.9935539,14779,1.0
1559000919.023873,14780,1.0
1559000919.143195,14784,1.0
1559000919.265569,14788,1.0
1559000919.3860009,14792,1.0
1559000920.19557,14809,1.0
1559000920.375934,14815,1.0
1559000920.4994261,14819,1.0
1559000921.328406,14846,1.0
1559000922.559521,14873,1.0
1559000923.131575,14892,1.0
1559000924.4908779,14924,1.0
1559000924.5210009,14925,1.0
1559000924.551146,14926,1.0
1559000925.2822962,14950,1.0
1559000928.05525,15015,1.0
1559000928.419978,15027,1.0
1559000930.693978,15090,1.0
1559000932.412369,15132,1.0
1559000932.5330648,15136,1.0
1559000934.247829,15180,1.0
1559000934.824661,15199,1.0
1559000936.344657,15236,1.0
1559000937.51748,15266,1.0
1559000937.735178,15273,1.0
1559000938.038945,15283,1.0
1559000938.982311,15301,1.0
1559000939.6784902,15324,1.0
1559000940.350487,15341,1.0
1559000940.531282,15347,1.0
1559000940.990444,15354,1.0
1559000942.776622,15401,1.0
1559000942.929228,15406,1.0
1559000943.402739,15422,1.0
1559000943.5831769,15428,1.0
1559000943.887646,15438,1.0
1559000944.766149,15456,1.0
1559000945.282803,15473,1.0
1559000945.342412,15475,1.0
1559000946.6769621,15507,1.0
1559000947.286527,15527,1.0
1559000947.624394,15538,1.0
1559000949.449439,15585,1.0
1559000949.811334,15597,1.0
1559000950.3956878,15608,1.0
1559000952.8890932,15672,1.0
1559000954.094721,15703,1.0
1559000955.351053,15740,1.0
1559000956.333083,15764,1.0
1559000956.740847,15773,1.0
1559000956.921557,15779,1.0
1559000957.3763871,15794,1.0
1559000958.147232,15811,1.0
1559000958.578614,15825,1.0
1559000958.824265,15828,1.0
1559000959.407489,15847,1.0
1559000960.228708,15866,1.0
1559000964.534173,15979,1.0
1559000964.9326332,15987,1.0
1559000965.116947,15993,1.0
1559000966.091527,16017,1.0
1559000966.1223521,16018,1.0
1559000967.683439,16056,1.0
1559000968.505308,16083,1.0
1559000969.015714,16095,1.0
1559000969.91778,16116,1.0
1559000972.123759,16175,1.0
1559000972.518551,16188,1.0
1559000972.81951,16198,1.0
1559000973.260669,16202,1.0
1559000973.998892,16227,1.0
1559000974.6592262,16249,1.0
1559000977.627661,16321,1.0
1559000978.2972732,16343,1.0
1559000978.419913,16347,1.0
1559000978.479975,16349,1.0
1559000978.510172,16350,1.0
1559000979.069126,16360,1.0
1559000979.833199,16380,1.0
1559000980.88177,16406,1.0
1559000982.06336,16440,1.0
1559000982.339621,16449,1.0
1559000984.699564,16505,1.0
1559000986.749841,16559,1.0
1559000987.6913989,16585,1.0
1559000987.8431869,16590,1.0
1559000988.706641,16610,1.0
1559000990.6561558,16661,1.0
1559000990.782311,16665,1.0
1559000991.94798,16697,1.0
1559000993.8203468,16746,1.0
1559000994.662697,16766,1.0
1559000995.7584891,16798,1.0
1559000996.311862,16808,1.0
1559000996.3414972,16809,1.0
1559000997.0985038,16834,1.0
1559000997.252734,16839,1.0
1559000997.374988,16843,1.0
1559000998.19939,16857,1.0
1559000999.4790668,16899,1.0
1559001000.5734248,16924,1.0
1559001003.25576,16999,1.0
1559001006.081569,17066,1.0
1559001007.0125709,17097,1.0
1559001008.429248,17131,1.0
1559001008.4594948,17132,1.0
1559001009.378551,17154,1.0
1559001010.666403,17192,1.0
1559001010.81905,17197,1.0
1559001011.2219121,17202,1.0
1559001011.522607,17212,1.0
1559001012.523305,17239,1.0
1559001012.5572422,17240,1.0
1559001012.786475,17247,1.0
1559001013.4791,17261,1.0
1559001013.822609,17272,1.0
1559001014.54428,17290,1.0
1559001014.6060932,17292,1.0
1559001015.5640771,17315,1.0
1559001015.594099,17316,1.0
1559001015.623903,17317,1.0
1559001015.7183921,17320,1.0
1559001016.4477172,17339,1.0
1559001017.784023,17374,1.0
1559001018.4524229,17391,1.0
1559001019.1111019,17404,1.0
1559001019.141171,17405,1.0
1559001019.441102,17415,1.0
1559001019.776453,17426,1.0
1559001020.232405,17436,1.0
1559001020.474415,17444,1.0
1559001021.057494,17454,1.0
1559001022.9266958,17503,1.0
1559001023.159911,17511,1.0
1559001023.277248,17515,1.0
1559001024.109128,17543,1.0
1559001024.94322,17557,1.0
1559001025.123965,17563,1.0
1559001025.5478668,17577,1.0
1559001025.6085062,17579,1.0
1559001025.8214028,17586,1.0
1559001025.9443042,17590,1.0
1559001026.034129,17593,1.0
1559001026.064147,17594,1.0
1559001026.1841202,17598,1.0
1559001027.3312268,17623,1.0
1559001027.632751,17633,1.0
1559001027.760332,17637,1.0
1559001028.58237,17653,1.0
1559001029.0074618,17667,1.0
1559001030.498419,17703,1.0
1559001030.52812,17704,1.0
1559001030.7474,17711,1.0
1559001031.0850801,17722,1.0
1559001032.248895,17752,1.0
1559001032.9785228,17771,1.0
1559001033.0086458,17772,1.0
1559001033.1720378,17777,1.0
1559001034.241788,17804,1.0
1559001034.9404411,17822,1.0
1559001035.5482109,17842,1.0
1559001039.974849,17953,1.0
1559001040.2459798,17962,1.0
1559001040.8754182,17978,1.0
1559001040.9681149,17981,1.0
1559001041.241166,17990,1.0
1559001042.341373,18018,1.0
1559001043.808318,18052,1.0
1559001043.8393202,18053,1.0
1559001044.1214101,18062,1.0
1559001044.211385,18065,1.0
1559001045.800523,18104,1.0
1559001046.258228,18119,1.0
1559001046.5588522,18129,1.0
1559001047.1622741,18144,1.0
1559001047.22352,18146,1.0
1559001047.719931,18154,1.0
1559001048.2117271,18170,1.0
1559001048.978718,18190,1.0
1559001049.978803,18214,1.0
1559001050.645246,18236,1.0
1559001051.91495,18264,1.0
